사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
May-19,1호선,150,서울역,"1,568,570","1,489,737","247,801","242,107"
May-19,1호선,151,시청,"709,821","727,110","112,279","112,016"
May-19,1호선,152,종각,"1,204,910","1,151,371","176,083","164,915"
May-19,1호선,153,종로3가,"699,000","647,664","408,682","382,809"
May-19,1호선,154,종로5가,"561,662","578,374","307,515","295,535"
May-19,1호선,155,동대문,"338,565","385,522","151,904","158,360"
May-19,1호선,156,신설동,"386,676","376,451","131,597","126,524"
May-19,1호선,157,제기동,"297,370","286,647","353,695","375,436"
May-19,1호선,158,청량리(서울시립대입구),"480,600","499,265","336,216","341,637"
May-19,1호선,159,동묘앞,"204,325","225,362","171,004","173,844"
May-19,2호선,201,시청,"742,471","719,019","65,213","60,288"
May-19,2호선,202,을지로입구,"1,458,984","1,462,646","122,625","113,191"
May-19,2호선,203,을지로3가,"631,678","629,124","96,041","94,877"
May-19,2호선,204,을지로4가,"289,575","295,316","97,370","92,916"
May-19,2호선,205,동대문역사문화공원,"565,829","659,176","66,155","70,818"
May-19,2호선,206,신당,"373,697","387,807","110,881","113,045"
May-19,2호선,207,상왕십리,"392,943","366,902","74,458","74,948"
May-19,2호선,208,왕십리(성동구청),"598,446","477,936","64,527","54,497"
May-19,2호선,209,한양대,"399,102","464,782","17,421","18,934"
May-19,2호선,210,뚝섬,"558,111","595,170","68,993","69,296"
May-19,2호선,211,성수,"797,223","878,780","114,884","116,456"
May-19,2호선,212,건대입구,"1,378,810","1,494,957","105,074","109,681"
May-19,2호선,213,구의(광진구청),"662,806","629,776","116,901","117,767"
May-19,2호선,214,강변(동서울터미널),"1,310,416","1,289,645","160,160","155,742"
May-19,2호선,215,잠실나루,"435,371","420,614","98,291","98,961"
May-19,2호선,216,잠실(송파구청),"2,539,574","2,462,479","233,044","219,947"
May-19,2호선,217,잠실새내,"693,826","697,802","122,023","121,641"
May-19,2호선,218,종합운동장,"455,844","527,807","67,352","71,812"
May-19,2호선,219,삼성(무역센터),"1,781,824","1,842,623","134,802","127,716"
May-19,2호선,220,선릉,"1,460,528","1,300,444","234,778","207,100"
May-19,2호선,221,역삼,"1,269,095","1,438,098","174,383","177,850"
May-19,2호선,222,강남,"2,894,341","2,974,378","192,979","172,755"
May-19,2호선,223,교대(법원.검찰청),"970,396","1,101,853","178,269","199,422"
May-19,2호선,224,서초,"628,816","621,293","96,652","96,486"
May-19,2호선,225,방배,"578,480","598,972","88,906","88,095"
May-19,2호선,226,사당,"1,171,893","1,316,118","229,867","219,309"
May-19,2호선,227,낙성대,"850,997","815,655","124,433","126,274"
May-19,2호선,228,서울대입구(관악구청),"1,509,438","1,455,697","222,610","213,945"
May-19,2호선,229,봉천,"631,091","567,922","166,938","167,409"
May-19,2호선,230,신림,"1,996,054","1,926,203","266,618","270,264"
May-19,2호선,231,신대방,"788,516","746,038","146,907","148,117"
May-19,2호선,232,구로디지털단지,"1,810,723","1,808,076","194,678","197,938"
May-19,2호선,233,대림(구로구청),"820,090","839,909","130,273","134,965"
May-19,2호선,234,신도림,"1,646,558","1,650,521","234,895","223,466"
May-19,2호선,235,문래,"536,528","545,634","92,490","91,266"
May-19,2호선,236,영등포구청,"587,695","598,922","111,145","109,291"
May-19,2호선,237,당산,"654,811","718,352","77,698","83,271"
May-19,2호선,238,합정,"996,456","1,073,567","80,127","80,955"
May-19,2호선,239,홍대입구,"2,477,631","2,672,677","122,634","119,350"
May-19,2호선,240,신촌,"1,391,356","1,428,011","152,993","150,842"
May-19,2호선,241,이대,"618,999","661,258","70,155","71,058"
May-19,2호선,242,아현,"288,483","275,061","72,327","71,743"
May-19,2호선,243,충정로(경기대입구),"291,912","314,257","55,217","55,473"
May-19,2호선,244,용답,"73,171","76,253","18,872","18,272"
May-19,2호선,245,신답,"40,637","44,562","11,312","12,157"
May-19,2호선,246,신설동,"100,297","91,715","39,442","40,385"
May-19,2호선,247,도림천,"29,126","31,674","7,857","8,530"
May-19,2호선,248,양천구청,"185,230","193,394","52,893","53,877"
May-19,2호선,249,신정네거리,"254,805","262,405","75,713","77,460"
May-19,2호선,250,용두(동대문구청),"50,465","51,334","25,056","26,346"
May-19,3호선,309,지축,"30,033","31,107","12,371","15,088"
May-19,3호선,310,구파발,"593,088","557,869","129,985","123,044"
May-19,3호선,311,연신내,"1,062,242","995,545","302,867","293,167"
May-19,3호선,312,불광,"452,891","496,753","163,089","180,621"
May-19,3호선,313,녹번,"386,979","328,394","78,045","75,924"
May-19,3호선,314,홍제,"484,405","452,353","164,105","162,338"
May-19,3호선,315,무악재,"97,436","101,087","34,398","36,573"
May-19,3호선,316,독립문,"206,187","217,642","88,515","89,213"
May-19,3호선,317,경복궁(정부서울청사),"769,074","790,943","111,416","102,405"
May-19,3호선,318,안국,"710,948","746,832","109,043","114,580"
May-19,3호선,319,종로3가,"281,116","370,681","69,238","77,927"
May-19,3호선,320,을지로3가,"285,035","306,315","62,612","61,375"
May-19,3호선,321,충무로,57,0,3,0
May-19,3호선,322,동대입구,"367,685","425,151","44,865","48,952"
May-19,3호선,323,약수,"369,593","356,702","94,726","91,418"
May-19,3호선,324,금호,"220,292","198,129","62,013","60,599"
May-19,3호선,325,옥수,"257,954","266,589","66,681","66,832"
May-19,3호선,326,압구정,"874,090","960,936","164,464","163,817"
May-19,3호선,327,신사,"966,397","1,049,134","80,613","77,879"
May-19,3호선,328,잠원,"171,490","162,814","42,735","41,463"
May-19,3호선,329,고속터미널,"1,776,023","1,683,057","210,770","201,605"
May-19,3호선,330,교대(법원.검찰청),"395,769","265,596","77,224","47,458"
May-19,3호선,331,남부터미널(예술의전당),"955,011","979,026","139,646","140,000"
May-19,3호선,332,양재(서초구청),"1,101,532","1,200,669","182,992","185,709"
May-19,3호선,333,매봉,"297,741","285,464","64,143","58,127"
May-19,3호선,334,도곡,"157,476","160,598","29,341","26,612"
May-19,3호선,335,대치,"333,902","322,466","68,064","65,351"
May-19,3호선,336,학여울,"76,749","77,312","16,236","15,915"
May-19,3호선,337,대청,"269,481","239,731","60,677","58,025"
May-19,3호선,338,일원,"249,691","250,730","69,728","71,093"
May-19,3호선,339,수서,"475,391","469,839","116,791","113,359"
May-19,3호선,340,가락시장,"234,516","227,549","82,347","80,234"
May-19,3호선,341,경찰병원,"196,543","194,158","46,162","47,134"
May-19,3호선,342,오금,"183,267","161,705","32,149","30,231"
May-19,4호선,409,당고개,"330,581","303,135","106,582","105,030"
May-19,4호선,410,상계,"557,459","490,287","130,257","127,896"
May-19,4호선,411,노원,"622,264","714,680","103,790","101,888"
May-19,4호선,412,창동,"732,888","784,761","220,784","227,189"
May-19,4호선,413,쌍문,"877,326","768,980","187,087","182,508"
May-19,4호선,414,수유(강북구청),"1,015,680","1,001,460","229,974","229,697"
May-19,4호선,415,미아(서울사이버대학),"434,175","401,448","134,693","133,140"
May-19,4호선,416,미아사거리,"788,747","757,392","205,293","202,321"
May-19,4호선,417,길음,"657,442","635,326","136,751","136,965"
May-19,4호선,418,성신여대입구(돈암),"727,724","681,334","102,518","101,139"
May-19,4호선,419,한성대입구(삼선교),"490,608","466,267","88,439","87,952"
May-19,4호선,420,혜화,"1,224,744","1,266,988","147,378","146,826"
May-19,4호선,421,동대문,"650,086","655,128","180,880","166,248"
May-19,4호선,422,동대문역사문화공원,"681,185","614,649","69,101","62,653"
May-19,4호선,423,충무로,"897,457","911,470","136,111","137,484"
May-19,4호선,424,명동,"1,141,339","1,230,794","79,951","82,312"
May-19,4호선,425,회현(남대문시장),"766,213","829,866","247,657","248,580"
May-19,4호선,426,서울역,"381,769","679,345","45,834","60,659"
May-19,4호선,427,숙대입구(갈월),"492,334","479,143","62,064","57,669"
May-19,4호선,428,삼각지,"125,843","151,552","28,741","30,764"
May-19,4호선,429,신용산,"468,298","488,989","56,697","56,692"
May-19,4호선,430,이촌(국립중앙박물관),"260,269","292,124","57,217","61,015"
May-19,4호선,431,동작(현충원),"75,509","81,501","25,184","25,285"
May-19,4호선,432,총신대입구(이수),"527,049","587,704","166,187","172,893"
May-19,4호선,433,사당,"857,721","738,981","104,554","106,738"
May-19,4호선,434,남태령,"43,752","30,614","10,083","9,148"
May-19,경부선,1001,서울역,"219,143","46,557","14,715","2,647"
May-19,경부선,1002,남영,"320,700","345,773","41,442","43,788"
May-19,경부선,1003,용산,"1,221,877","1,257,447","147,723","148,189"
May-19,경부선,1004,노량진,"356,067","331,124","45,325","40,721"
May-19,경부선,1005,대방,"399,484","403,233","78,126","78,476"
May-19,경부선,1006,영등포,"1,267,511","1,337,165","307,864","307,842"
May-19,경부선,1007,신도림,"108,626","108,210","26,648","29,872"
May-19,경부선,1032,신길,"274,779","222,463","52,270","48,140"
May-19,경부선,1701,구로,"562,382","589,737","105,591","102,342"
May-19,경부선,1702,가산디지털단지,"483,887","572,077","36,391","39,946"
May-19,경부선,1703,금천구청,"324,555","313,285","89,413","90,057"
May-19,경부선,1704,석수,"336,904","294,400","54,820","52,020"
May-19,경부선,1705,관악,"223,373","212,191","63,172","62,049"
May-19,경부선,1706,안양,"818,278","802,911","129,062","131,705"
May-19,경부선,1707,명학,"286,534","286,477","48,560","48,637"
May-19,경부선,1708,금정,"762,808","771,671","120,633","122,275"
May-19,경부선,1709,군포,"204,682","197,822","38,499","36,903"
May-19,경부선,1710,의왕,"263,296","255,805","45,394","44,912"
May-19,경부선,1711,성균관대,"494,167","478,502","58,310","58,862"
May-19,경부선,1712,화서,"235,215","230,021","50,066","50,240"
May-19,경부선,1713,수원,"1,432,034","1,515,339","167,727","177,313"
May-19,경부선,1714,독산,"451,400","472,322","70,925","74,149"
May-19,경부선,1715,세류,"110,998","103,761","20,339","20,214"
May-19,경부선,1716,병점,"512,643","510,175","70,030","69,533"
May-19,경부선,1717,세마,"86,978","77,676","17,776","16,560"
May-19,경부선,1718,오산대,"109,128","107,643","19,140","18,486"
May-19,경부선,1719,오산,"317,082","301,577","49,315","49,885"
May-19,경부선,1720,진위,"49,138","42,323","9,191","8,817"
May-19,경부선,1721,송탄,"143,483","139,453","27,317","26,679"
May-19,경부선,1722,서정리,"160,425","156,910","28,344","27,859"
May-19,경부선,1723,지제,"81,186","75,596","9,053","9,035"
May-19,경부선,1724,평택,"419,282","415,169","75,273","73,335"
May-19,경부선,1725,성환,"163,892","157,014","23,828","23,552"
May-19,경부선,1726,직산,"24,259","26,039","6,658","6,383"
May-19,경부선,1727,두정,"200,592","218,955","25,112","25,771"
May-19,경부선,1728,천안,"215,875","187,891","62,677","61,442"
May-19,경부선,1729,당정,"216,028","207,162","33,560","32,683"
May-19,경부선,1749,서동탄,"49,528","42,492","11,144","10,289"
May-19,경부선,1750,광명,"92,526","71,819","8,230","6,708"
May-19,경인선,1801,개봉,"623,904","607,447","176,017","183,270"
May-19,경인선,1802,오류동,"310,893","280,618","105,691","102,458"
May-19,경인선,1803,역곡,"884,460","851,517","167,202","169,497"
May-19,경인선,1804,부천,"1,074,037","1,085,472","234,614","238,785"
May-19,경인선,1805,송내,"928,599","917,818","136,512","134,256"
May-19,경인선,1806,부평,"1,063,996","1,168,961","162,125","167,872"
May-19,경인선,1807,백운,"216,905","208,425","72,609","74,243"
May-19,경인선,1808,동암,"480,881","477,292","112,934","113,857"
May-19,경인선,1809,주안,"692,671","636,265","109,909","99,102"
May-19,경인선,1810,제물포,"322,581","298,780","69,187","68,937"
May-19,경인선,1811,동인천,"428,560","406,564","149,197","144,148"
May-19,경인선,1812,인천,"117,700","91,630","53,081","49,542"
May-19,경인선,1813,구일,"228,865","232,577","43,838","43,485"
May-19,경인선,1814,소사,"300,642","283,180","79,484","78,080"
May-19,경인선,1815,부개,"245,577","224,898","73,808","72,375"
May-19,경인선,1816,간석,"168,136","158,035","50,844","49,250"
May-19,경인선,1817,도원,"95,282","97,550","43,432","45,197"
May-19,경인선,1821,온수(성공회대입구),"205,322","199,707","55,151","53,852"
May-19,경인선,1822,중동,"251,118","229,771","76,438","75,523"
May-19,경인선,1823,도화,"97,300","85,069","42,576","41,756"
May-19,경원선,1008,이촌(국립중앙박물관),"118,543","83,721","32,349","26,739"
May-19,경원선,1009,서빙고,"51,369","49,859","18,175","17,654"
May-19,경원선,1010,한남,"109,747","106,831","36,759","34,264"
May-19,경원선,1011,옥수,"1,545","1,129",123,96
May-19,경원선,1012,응봉,"45,303","38,306","19,540","18,384"
May-19,경원선,1013,왕십리(성동구청),"487,052","529,138","68,089","73,542"
May-19,경원선,1014,청량리(서울시립대입구),"405,908","431,234","169,144","176,338"
May-19,경원선,1016,외대앞,"314,598","301,094","52,169","51,004"
May-19,경원선,1017,신이문,"233,188","202,214","74,168","72,802"
May-19,경원선,1018,석계,"256,148","282,672","72,240","76,744"
May-19,경원선,1019,광운대,"279,900","268,802","59,697","59,357"
May-19,경원선,1020,월계,"181,501","163,181","66,339","63,385"
May-19,경원선,1021,녹천,"121,685","96,054","44,870","40,998"
May-19,경원선,1022,창동,23,0,0,0
May-19,경원선,1901,방학,"220,783","208,511","119,761","118,180"
May-19,경원선,1902,도봉,"133,047","120,621","77,922","77,381"
May-19,경원선,1903,도봉산,"175,673","103,432","117,554","94,781"
May-19,경원선,1904,망월사,"241,584","239,324","80,500","82,520"
May-19,경원선,1905,회룡,"278,220","263,961","163,176","163,226"
May-19,경원선,1906,의정부,"580,433","616,033","136,743","138,989"
May-19,경원선,1907,가능,"172,827","160,195","67,416","65,779"
May-19,경원선,1908,녹양,"131,050","119,687","40,263","37,971"
May-19,경원선,1909,양주,"245,413","216,727","67,775","65,313"
May-19,경원선,1910,덕계,"59,021","49,604","21,192","19,852"
May-19,경원선,1911,덕정,"200,082","192,565","40,027","40,900"
May-19,경원선,1912,지행,"199,955","198,678","51,755","51,223"
May-19,경원선,1913,동두천중앙,"81,723","76,961","46,651","47,260"
May-19,경원선,1914,보산,"45,714","42,626","15,739","14,950"
May-19,경원선,1915,동두천,"56,017","64,597","22,655","34,610"
May-19,경원선,1916,소요산,"57,811","44,950","93,043","78,526"
May-19,안산선,1751,산본,"490,420","529,489","120,411","121,661"
May-19,안산선,1752,대야미,"125,213","109,014","32,089","30,258"
May-19,안산선,1753,반월,"127,897","117,525","33,546","32,651"
May-19,안산선,1754,상록수,"609,005","590,819","96,069","97,195"
May-19,안산선,1755,한대앞,"268,891","261,920","43,439","43,520"
May-19,안산선,1756,중앙,"547,738","586,069","64,688","63,373"
May-19,안산선,1757,고잔,"259,832","253,474","39,236","37,796"
May-19,안산선,1758,초지,"122,395","130,640","14,808","15,299"
May-19,안산선,1759,안산,"451,266","408,879","43,946","40,980"
May-19,안산선,1760,신길온천,"49,893","44,637","10,716","10,183"
May-19,안산선,1761,정왕,"291,206","300,266","27,420","28,915"
May-19,안산선,1762,오이도,"314,337","303,266","49,651","49,040"
May-19,안산선,1763,수리산,"118,156","93,965","42,388","41,144"
May-19,과천선,1450,선바위,"271,648","217,908","38,026","35,971"
May-19,과천선,1451,경마공원,"150,671","155,843","68,797","68,954"
May-19,과천선,1452,대공원,"199,166","203,367","63,949","66,026"
May-19,과천선,1453,과천,"139,546","121,092","39,605","38,148"
May-19,과천선,1454,정부과천청사,"315,447","309,425","71,718","68,519"
May-19,과천선,1455,인덕원,"734,636","727,120","119,470","122,382"
May-19,과천선,1456,평촌,"496,178","487,822","73,396","73,544"
May-19,과천선,1457,범계,"853,455","841,626","123,690","120,142"
May-19,분당선,1023,선릉,"295,844","506,514","38,197","55,753"
May-19,분당선,1024,한티,"393,409","414,152","76,730","78,262"
May-19,분당선,1025,도곡,"172,432","171,018","48,516","46,750"
May-19,분당선,1026,구룡,"48,140","45,260","15,979","15,822"
May-19,분당선,1027,개포동,"85,515","87,374","24,460","25,243"
May-19,분당선,1028,대모산입구,"77,017","68,081","32,179","31,947"
May-19,분당선,1030,수서,"396,487","399,350","73,032","74,952"
May-19,분당선,1031,복정,24,0,0,0
May-19,분당선,1846,수원,"284,278","192,542","31,119","18,660"
May-19,분당선,1847,서울숲,"277,538","281,075","30,246","29,470"
May-19,분당선,1848,압구정로데오,"472,969","544,964","45,801","44,029"
May-19,분당선,1849,강남구청,"247,077","289,343","44,171","48,039"
May-19,분당선,1850,선정릉,"196,971","217,889","39,743","39,709"
May-19,분당선,1851,가천대,"339,947","371,689","30,657","32,844"
May-19,분당선,1852,태평,"367,127","349,968","97,153","100,006"
May-19,분당선,1853,모란,"572,224","567,299","181,427","201,194"
May-19,분당선,1854,야탑,"760,490","810,263","186,288","186,530"
May-19,분당선,1855,서현,"757,747","776,520","150,561","147,855"
May-19,분당선,1856,수내,"357,666","355,467","88,158","88,173"
May-19,분당선,1857,정자,"459,393","493,056","83,631","84,651"
May-19,분당선,1858,미금,"434,135","464,262","124,474","135,535"
May-19,분당선,1859,오리,"324,835","276,928","91,861","77,934"
May-19,분당선,1860,이매,"167,531","158,035","46,853","45,118"
May-19,분당선,1861,보정,"63,780","51,272","27,394","25,765"
May-19,분당선,1862,죽전,"458,181","505,791","91,620","98,277"
May-19,분당선,1863,구성,"125,782","124,243","43,641","43,528"
May-19,분당선,1864,신갈,"120,432","115,349","37,805","37,402"
May-19,분당선,1865,기흥,"316,203","299,722","48,227","47,737"
May-19,분당선,1866,상갈,"158,421","148,046","37,883","35,333"
May-19,분당선,1867,청명,"126,299","116,032","21,264","21,258"
May-19,분당선,1868,영통,"297,691","306,842","34,689","34,898"
May-19,분당선,1869,망포,"422,934","388,901","38,336","36,751"
May-19,분당선,1870,매탄권선,"138,905","129,349","19,060","18,310"
May-19,분당선,1871,수원시청,"353,592","401,355","42,677","43,486"
May-19,분당선,1872,매교,"65,113","66,706","18,295","19,058"
May-19,일산선,1948,원흥,"235,225","212,501","50,145","47,905"
May-19,일산선,1950,삼송,"463,116","435,980","99,101","98,873"
May-19,일산선,1951,원당,"304,256","284,727","95,977","94,725"
